Season,Team,Pace,2P,0-3,3-10,10-16,16-3P,3P
2013,Portland Trail Blazers,88.5,0.512,0.636,0.439,0.433,0.401,0.34
2013,Sacramento Kings,92.3,0.512,0.699,0.414,0.403,0.398,0.355
2013,San Antonio Spurs,93.6,0.466,0.598,0.371,0.389,0.417,0.353
2013,Toronto Raptors,93.4,0.487,0.652,0.403,0.38,0.382,0.361
2013,Utah Jazz,92.2,0.485,0.635,0.378,0.4,0.397,0.37
2013,Washington Wizards,91.5,0.47,0.636,0.362,0.39,0.379,0.349
2014,Atlanta Hawks,95.0,0.497,0.629,0.419,0.402,0.411,0.365
2014,Boston Celtics,95.9,0.5,0.638,0.398,0.434,0.39,0.347
2014,Brooklyn Nets,95.4,0.492,0.626,0.41,0.401,0.393,0.367
2014,Charlotte Bobcats,91.2,0.468,0.598,0.356,0.429,0.392,0.369
2014,Chicago Bulls,96.2,0.454,0.6,0.362,0.409,0.366,0.351
2014,Cleveland Cavaliers,92.5,0.49,0.65,0.395,0.384,0.391,0.367
2014,Dallas Mavericks,96.3,0.505,0.669,0.386,0.4,0.395,0.359
2014,Denver Nuggets,94.9,0.491,0.633,0.385,0.42,0.402,0.351
2014,Detroit Pistons,91.8,0.51,0.652,0.37,0.391,0.438,0.365
2014,Golden State Warriors,95.8,0.465,0.641,0.358,0.399,0.391,0.344
2014,Houston Rockets,97.3,0.475,0.649,0.371,0.398,0.373,0.353
2014,Indiana Pacers,93.5,0.443,0.558,0.356,0.391,0.403,0.345
2014,Los Angeles Clippers,90.2,0.479,0.648,0.397,0.358,0.368,0.332
2014,Los Angeles Lakers,89.9,0.504,0.646,0.428,0.397,0.392,0.361
2014,Memphis Grizzlies,93.2,0.484,0.625,0.386,0.405,0.409,0.355
2014,Miami Heat,92.4,0.497,0.63,0.427,0.412,0.366,0.362
2014,Milwaukee Bucks,94.6,0.5,0.623,0.395,0.423,0.406,0.382
2014,Minnesota Timberwolves,90.3,0.508,0.674,0.401,0.398,0.399,0.364
2014,New Orleans Pelicans,91.4,0.507,0.663,0.376,0.42,0.384,0.357
2014,New York Knicks,98.1,0.496,0.64,0.355,0.395,0.406,0.371
2014,Oklahoma City Thunder,92.2,0.468,0.591,0.359,0.412,0.383,0.358
2014,Orlando Magic,94.4,0.485,0.639,0.39,0.396,0.402,0.371
2014,Philadelphia 76ers,93.1,0.511,0.669,0.375,0.404,0.407,0.37
2014,Phoenix Suns,94.9,0.492,0.639,0.392,0.42,0.387,0.341
2014,Portland Trail Blazers,93.3,0.476,0.596,0.385,0.416,0.414,0.355
2014,Sacramento Kings,93.6,0.491,0.696,0.416,0.352,0.388,0.38
2014,San Antonio Spurs,98.7,0.469,0.611,0.392,0.394,0.396,0.353
2014,Toronto Raptors,91.4,0.478,0.629,0.406,0.377,0.38,0.36
2014,Utah Jazz,91.8,0.503,0.659,0.402,0.42,0.391,0.376
