Season,Team,Player,Position,MP,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,OFE,DFE
2010,Boston Celtics,Brian Scalabrine,PF,9.1,0.3,0.9,0.3,0.7,0.1,0.1,0.2,0.8,0.5,0.2,0.1,0.3,1.1,1.5,0.8131868131868133,-0.03296703296703295
2010,Boston Celtics,J.R. Giddens,SF,4.7,0.0,0.1,0.4,0.9,0.3,0.6,0.2,0.8,0.3,0.2,0.0,0.3,0.5,1.1,0.851063829787234,0.40425531914893625
2010,Boston Celtics,Lester Hudson,PG,4.4,0.2,0.3,0.3,0.8,0.3,0.4,0.2,0.3,0.5,0.2,0.1,0.6,0.4,1.4,1.409090909090909,0.27272727272727276
2010,Boston Celtics,Henry Walker,SF,3.6,0.0,0.0,0.4,0.8,0.3,0.3,0.0,0.6,0.4,0.0,0.0,0.3,0.5,1.0,1.4444444444444446,-0.0277777777777778
2010,Boston Celtics,Marcus Landry,SF,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,0.0
2010,Toronto Raptors,Andrea Bargnani,PF,35.0,1.5,4.1,5.2,10.2,2.3,2.9,1.3,4.9,1.2,0.3,1.4,1.5,2.7,17.2,2.1542857142857144,0.5457142857142857
2010,Toronto Raptors,Hedo Türkoğlu,SF,30.7,1.5,3.9,2.3,5.2,2.4,3.1,0.6,4.1,4.1,0.7,0.4,1.7,3.0,11.3,2.0912052117263844,0.28664495114006505
2010,Toronto Raptors,Jarrett Jack,PG,27.4,1.0,2.4,2.9,5.8,2.5,2.9,0.4,2.3,5.0,0.7,0.1,2.0,1.8,11.4,2.591240875912409,0.1897810218978102
2010,Toronto Raptors,José Calderón,PG,26.7,1.0,2.5,3.0,5.8,1.2,1.5,0.3,1.8,5.9,0.7,0.1,1.5,2.0,10.3,2.726591760299626,0.08239700374531833
2010,Toronto Raptors,DeMar DeRozan,SG,21.6,0.1,0.2,3.3,6.4,1.9,2.5,0.9,2.0,0.7,0.6,0.2,0.8,2.3,8.6,1.8240740740740735,0.07870370370370366
2010,Toronto Raptors,Antoine Wright,SF,20.8,0.9,2.6,1.6,3.4,0.8,1.1,0.6,2.3,1.1,0.4,0.2,0.9,2.0,6.5,1.3942307692307692,0.1538461538461538
2010,Toronto Raptors,Sonny Weems,SG,19.8,0.0,0.2,3.4,6.4,0.6,0.9,0.6,2.2,1.5,0.6,0.4,0.9,1.8,7.5,1.828282828282828,0.3333333333333333
2010,Toronto Raptors,Amir Johnson,PF,17.7,0.0,0.0,2.5,4.0,1.2,1.8,1.9,2.9,0.6,0.5,0.8,0.8,3.1,6.2,1.84180790960452,0.3107344632768362
2010,Toronto Raptors,Marco Belinelli,SG,17.0,0.9,2.4,1.4,3.3,1.5,1.8,0.2,1.2,1.3,0.6,0.1,0.9,1.2,7.1,1.9294117647058822,0.18823529411764703
